dt_referencia;no_produto;no_indicador;vr_real
"2010-01-25";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-26";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-26";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-26";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-26";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";52.74
"2010-01-26";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";57.4
"2010-01-26";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.92
"2010-01-26";"soja";"Soja industrial tipo 1 sc 60 Kg";36.29
"2010-01-26";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-26";"boi";"Boi em pé arroba";72.52
"2010-01-26";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.61
"2010-01-26";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-26";"suíno";"Suíno em pé tipo carne não integrado kg";1.99
"2010-01-26";"vaca";"Vaca em pé (padrão corte) arroba";65.97
"2010-01-26";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";230.2
"2010-01-26";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-27";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-27";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-27";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-27";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";52.06
"2010-01-27";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";56.87
"2010-01-27";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.95
"2010-01-27";"soja";"Soja industrial tipo 1 sc 60 Kg";36.26
"2010-01-27";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-27";"boi";"Boi em pé arroba";72.66
"2010-01-27";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.61
"2010-01-27";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-27";"suíno";"Suíno em pé tipo carne não integrado kg";1.99
"2010-01-27";"vaca";"Vaca em pé (padrão corte) arroba";66.13
"2010-01-27";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";230.2
"2010-01-27";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-28";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-28";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.95
"2010-01-28";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-28";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";55.68
"2010-01-28";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";56.88
"2010-01-28";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.82
"2010-01-28";"soja";"Soja industrial tipo 1 sc 60 Kg";35.9
"2010-01-28";"trigo";"Trigo pão PH 78 sc 60 Kg";23.79
"2010-01-28";"boi";"Boi em pé arroba";72.59
"2010-01-28";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.61
"2010-01-28";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-28";"suíno";"Suíno em pé tipo carne não integrado kg";1.99
"2010-01-28";"vaca";"Vaca em pé (padrão corte) arroba";65.9
"2010-01-28";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";228.88
"2010-01-28";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-01-29";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-01-29";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-01-29";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-01-29";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";55.67
"2010-01-29";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";56.88
"2010-01-29";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.83
"2010-01-29";"soja";"Soja industrial tipo 1 sc 60 Kg";35.5
"2010-01-29";"trigo";"Trigo pão PH 78 sc 60 Kg";23.77
"2010-01-29";"boi";"Boi em pé arroba";72.66
"2010-01-29";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.62
"2010-01-29";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-01-29";"suíno";"Suíno em pé tipo carne não integrado kg";1.99
"2010-01-29";"vaca";"Vaca em pé (padrão corte) arroba";66.08
"2010-01-29";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.82
"2010-01-29";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-02-01";"algodão";"Pesquisa descontinuada (Algodão)";15.0
"2010-02-01";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";39.56
"2010-02-01";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";36.74
"2010-02-01";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";55.57
"2010-02-01";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";57.3
"2010-02-01";"milho";"Milho amarelo tipo 1 sc 60 Kg";14.77
"2010-02-01";"soja";"Soja industrial tipo 1 sc 60 Kg";35.44
"2010-02-01";"trigo";"Trigo pão PH 78 sc 60 Kg";23.76
"2010-02-01";"boi";"Boi em pé arroba";72.61
"2010-02-01";"frango vivo";"Pesquisa descontinuada (Frango vivo)";1.61
"2010-02-01";"erva-mate";"Erva-mate folha em barranco arroba";6.18
"2010-02-01";"suíno";"Suíno em pé tipo carne não integrado kg";1.99
"2010-02-01";"vaca";"Vaca em pé (padrão corte) arroba";65.88
"2010-02-01";"café beneficiado";"Café beneficiado bebida dura - tipo 6 sc 60 Kg";229.33
"2010-02-01";"mandioca";"Mandioca padrão de amido 580 g tonelada";""
"2010-02-02";"algodão";"Pesquisa descontinuada (Algodão)";0.0
"2010-02-02";"arroz em casca";"Pesquisa descontinuada (Arroz em casca sequeiro)";0.0
"2010-02-02";"arroz agulhinha";"Arroz Agulhinha em casca tipo 1 sc 60 Kg";0.0
"2010-02-02";"feijão carioca";"Feijão Carioca tipo 1 sc 60 Kg";0.0
"2010-02-02";"feijão preto";"Feijão preto tipo 1 sc 60 Kg";0.0
"2010-02-02";"milho";"Milho amarelo tipo 1 sc 60 Kg";0.0
"2010-02-02";"soja";"Soja industrial tipo 1 sc 60 Kg";0.0
"2010-02-02";"trigo";"Trigo pão PH 78 sc 60 Kg";0.0
"2010-02-02";"boi";"Boi em pé arroba";0.0
"2010-02-02";"frango vivo";"Pesquisa descontinuada (Frango vivo)";0.0
"2010-02-02";"erva-mate";"Erva-mate folha em barranco arroba";0.0
